Time,Displacement,Force,Rotation,Torque
(s),(mm),(kN),(deg),(N-m)
11.62,0,0.0007,-0.55,-0.0001
11.64,0,0.0007,-0.5508,0
11.66,0,0.0007,-0.5516,0
11.68,0,0.0007,-0.5525,-0.0001
11.7,0,0.0007,-0.5534,-0.0001
11.72,0,0.0007,-0.5544,-0.0001
11.74,0,0.0007,-0.5553,-0.0001
11.76,0,0.0007,-0.5563,-0.0001
11.78,0,0.0007,-0.5573,-0.0001
11.8,0,0.0007,-0.5583,-0.0001
11.82,0,0.0007,-0.5593,-0.0001
11.84,0,0.0007,-0.5603,-0.0001
11.86,0,0.0007,-0.5614,-0.0001
11.88,0,0.0007,-0.5625,0
11.9,0,0.0007,-0.5635,-0.0001
11.92,0,0.0007,-0.5646,-0.0001
11.94,0,0.0007,-0.5656,-0.0001
11.96,0,0.0007,-0.5666,-0.0001
11.98,0,0.0007,-0.5676,-0.0001
12,0,0.0007,-0.5686,-0.0001
12.02,0,0.0007,-0.5696,-0.0001
12.04,0,0.0007,-0.5706,-0.0001
12.06,0,0.0007,-0.5715,-0.0001
12.08,0,0.0007,-0.5725,-0.0001
12.1,0,0.0007,-0.5734,-0.0002
12.12,0,0.0007,-0.5743,-0.0001
12.14,0,0.0007,-0.5752,0
12.16,0,0.0007,-0.5761,-0.0001
12.18,0,0.0007,-0.577,-0.0002
12.2,0,0.0007,-0.5779,-0.0002
12.22,0,0.0007,-0.5788,-0.0002
12.24,0,0.0007,-0.5796,-0.0001
12.26,0,0.0007,-0.5805,-0.0001
12.28,0,0.0007,-0.5813,-0.0001
12.3,0,0.0007,-0.5822,-0.0002
12.32,0,0.0007,-0.5831,-0.0003
12.34,0,0.0007,-0.584,-0.0002
12.36,0,0.0007,-0.585,-0.0002
12.38,0,0.0007,-0.5859,-0.0002
12.4,0,0.0007,-0.5869,-0.0001
12.42,0,0.0007,-0.5878,-0.0001
12.44,0,0.0007,-0.5888,-0.0001
12.46,0,0.0007,-0.5898,-0.0001
12.48,0,0.0007,-0.5908,-0.0002
12.5,0,0.0007,-0.5919,-0.0001
12.52,0,0.0007,-0.593,-0.0001
12.54,0,0.0007,-0.594,-0.0002
12.56,0,0.0007,-0.5951,-0.0002
12.58,0,0.0007,-0.5961,-0.0002
12.6,0,0.0007,-0.5972,-0.0002
12.62,0,0.0007,-0.5983,-0.0003
12.64,0,0.0007,-0.5993,-0.0003
12.66,0,0.0007,-0.6004,-0.0002
12.68,0,0.0007,-0.6014,-0.0002
12.7,0,0.0007,-0.6025,-0.0001
12.72,0,0.0007,-0.6035,-0.0002
12.74,0,0.0007,-0.6045,-0.0002
12.76,0,0.0007,-0.6055,-0.0002
12.78,0,0.0007,-0.6065,-0.0003
12.8,0,0.0007,-0.6074,-0.0003
12.82,0,0.0008,-0.6084,-0.0002
12.84,0,0.0007,-0.6093,-0.0002
12.86,0,0.0007,-0.6102,-0.0002
12.88,0,0.0007,-0.6111,-0.0002
12.9,0,0.0007,-0.612,-0.0002
12.92,0,0.0007,-0.6128,-0.0003
12.94,0,0.0007,-0.6137,-0.0003
12.96,0,0.0007,-0.6147,-0.0002
12.98,0,0.0007,-0.6156,-0.0002
13,0,0.0007,-0.6165,-0.0002
13.02,0,0.0007,-0.6175,-0.0002
13.04,0,0.0007,-0.6185,-0.0003
13.06,0,0.0007,-0.6194,-0.0003
13.08,0,0.0007,-0.6204,-0.0003
13.1,0,0.0007,-0.6214,-0.0002
13.12,0,0.0007,-0.6224,-0.0003
13.14,0,0.0007,-0.6234,-0.0003
13.16,0,0.0007,-0.6243,-0.0003
13.18,0,0.0007,-0.6253,-0.0003
13.2,0,0.0008,-0.6263,-0.0003
13.22,0,0.0007,-0.6273,-0.0002
13.24,0,0.0007,-0.6282,-0.0002
13.26,0,0.0007,-0.6292,-0.0003
13.28,0,0.0007,-0.6302,-0.0003
13.3,0,0.0007,-0.6311,-0.0003
13.32,0,0.0007,-0.6321,-0.0003
13.34,0,0.0007,-0.6331,-0.0004
13.36,0,0.0008,-0.634,-0.0004
13.38,0,0.0008,-0.635,-0.0003
13.4,0,0.0008,-0.636,-0.0002
13.42,0,0.0007,-0.6369,-0.0003
13.44,0,0.0007,-0.6379,-0.0003
13.46,0,0.0008,-0.6388,-0.0004
13.48,0,0.0008,-0.6398,-0.0004
13.5,0,0.0008,-0.6407,-0.0003
13.52,0,0.0007,-0.6416,-0.0003
13.54,0,0.0007,-0.6425,-0.0003
13.56,0,0.0008,-0.6435,-0.0003
13.58,0,0.0008,-0.6444,-0.0003
13.6,0,0.0008,-0.6453,-0.0003
13.62,0,0.0007,-0.6463,-0.0003
13.64,0,0.0008,-0.6472,-0.0004
13.66,0,0.0008,-0.6482,-0.0004
13.68,0,0.0008,-0.6491,-0.0004
13.7,0,0.0007,-0.6501,-0.0003
13.72,0,0.0007,-0.6511,-0.0004
13.74,0,0.0007,-0.6521,-0.0004
13.76,0,0.0008,-0.653,-0.0004
13.78,0,0.0007,-0.654,-0.0004
13.8,0,0.0007,-0.655,-0.0004
13.82,0,0.0008,-0.6559,-0.0003
13.84,0,0.0008,-0.6569,-0.0003
13.86,0,0.0008,-0.6579,-0.0004
13.88,0,0.0008,-0.6589,-0.0004
13.9,0,0.0007,-0.6599,-0.0004
13.92,0,0.0008,-0.6608,-0.0003
13.94,0,0.0008,-0.6618,-0.0004
13.96,0,0.0007,-0.6627,-0.0004
13.98,0,0.0007,-0.6637,-0.0004
14,0,0.0007,-0.6646,-0.0004
14.02,0,0.0008,-0.6655,-0.0004
14.04,0,0.0008,-0.6664,-0.0004
14.06,0,0.0007,-0.6673,-0.0004
14.08,0,0.0007,-0.6682,-0.0004
14.1,0,0.0008,-0.6691,-0.0004
14.12,0,0.0008,-0.67,-0.0004
14.14,0,0.0008,-0.6709,-0.0005
14.16,0,0.0007,-0.6718,-0.0004
14.18,0,0.0007,-0.6728,-0.0003
14.2,0,0.0008,-0.6737,-0.0005
14.22,0,0.0008,-0.6746,-0.0005
14.24,0,0.0008,-0.6756,-0.0004
14.26,0,0.0007,-0.6765,-0.0004
14.28,0,0.0008,-0.6774,-0.0005
14.3,0,0.0008,-0.6784,-0.0005
14.32,0,0.0008,-0.6793,-0.0005
14.34,0,0.0008,-0.6803,-0.0005
14.36,0,0.0008,-0.6813,-0.0005
14.38,0,0.0008,-0.6823,-0.0004
14.4,0,0.0008,-0.6833,-0.0004
14.42,0,0.0008,-0.6842,-0.0005
